"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","some high school","standard","completed","78","90","98"
"female","group C","bachelor's degree","standard","completed","95","100","100"
"female","group B","high school","free/reduced","completed","54","67","66"
"female","group B","high school","standard","none","66","75","67"
"male","group D","some high school","free/reduced","none","35","39","39"
"male","group C","high school","standard","completed","71","73","70"
"male","group B","master's degree","standard","none","79","73","72"
"female","group C","associate's degree","standard","none","92","100","98"
"female","group D","high school","standard","none","52","72","63"
"female","group D","some college","standard","completed","64","69","76"
"female","group E","some high school","free/reduced","none","66","70","65"
"male","group D","some college","free/reduced","none","54","48","45"
"male","group B","some college","standard","none","53","36","36"
"male","group D","high school","free/reduced","none","40","42","40"
"male","group C","some high school","standard","none","69","68","70"
"female","group C","some high school","free/reduced","none","36","45","42"
"male","group C","some college","free/reduced","completed","52","52","52"
"male","group C","bachelor's degree","free/reduced","none","56","54","50"
"male","group D","some college","free/reduced","completed","43","49","49"
"male","group D","bachelor's degree","standard","none","71","69","69"
"female","group D","high school","standard","none","75","81","82"
"male","group C","some college","standard","none","84","73","75"
"male","group B","some college","free/reduced","completed","58","60","66"
"female","group A","bachelor's degree","free/reduced","none","67","82","82"
"male","group E","master's degree","standard","completed","75","81","70"
"female","group D","some high school","standard","none","92","92","93"
"male","group C","high school","standard","none","57","62","54"
"male","group B","associate's degree","free/reduced","none","55","49","46"
"female","group E","some college","standard","none","58","65","60"
"male","group B","bachelor's degree","standard","none","81","80","78"
"male","group C","associate's degree","standard","completed","88","80","84"
"male","group A","some college","standard","completed","80","79","71"
"female","group C","high school","standard","completed","77","91","91"
"male","group B","some college","standard","none","68","53","56"
"female","group C","high school","free/reduced","none","53","73","63"
"male","group A","some high school","free/reduced","completed","52","45","48"
"male","group D","associate's degree","standard","none","78","65","63"
"female","group C","some college","free/reduced","completed","61","84","80"
"female","group C","bachelor's degree","standard","none","45","54","52"
"male","group D","associate's degree","standard","completed","70","60","59"
"female","group E","some college","standard","none","75","74","74"
"male","group E","bachelor's degree","standard","completed","82","86","86"
"female","group C","associate's degree","free/reduced","completed","51","71","69"
"male","group C","high school","standard","none","55","50","44"
"male","group D","bachelor's degree","standard","none","95","92","90"
"male","group D","associate's degree","free/reduced","none","56","69","65"
"male","group C","bachelor's degree","standard","completed","79","77","79"
"female","group D","high school","standard","none","61","73","66"
"female","group B","some high school","standard","none","49","51","51"
"male","group C","associate's degree","standard","none","81","70","64"
"male","group B","some high school","free/reduced","none","43","39","35"
"male","group C","associate's degree","standard","none","76","64","63"
"female","group C","bachelor's degree","standard","none","50","53","56"
"female","group C","some college","free/reduced","none","50","52","54"
"male","group B","high school","free/reduced","none","37","36","31"
"male","group B","some high school","standard","none","66","63","56"
"female","group D","some college","free/reduced","none","29","47","45"
"male","group C","some high school","free/reduced","none","56","54","52"
"male","group E","high school","standard","completed","87","78","74"
"female","group C","some college","standard","completed","57","68","67"
"female","group B","associate's degree","free/reduced","none","79","84","87"
"female","group B","some high school","standard","none","62","72","68"
"male","group C","associate's degree","free/reduced","completed","91","87","85"
"female","group E","master's degree","standard","completed","49","49","56"
"female","group D","associate's degree","standard","none","94","95","94"
"female","group D","associate's degree","standard","none","61","71","70"
"male","group C","high school","free/reduced","none","68","65","66"
"female","group A","bachelor's degree","standard","none","67","82","76"
"male","group E","some high school","standard","none","81","75","78"
"female","group E","bachelor's degree","standard","none","81","84","84"
"female","group B","associate's degree","standard","none","67","77","66"
"male","group B","some college","standard","none","57","66","61"
"female","group C","master's degree","free/reduced","none","60","70","71"
"female","group B","some high school","free/reduced","none","49","60","60"
"male","group C","some college","standard","none","62","63","56"
"male","group C","some college","standard","none","67","62","57"
"female","group C","bachelor's degree","free/reduced","none","71","75","78"
"female","group D","some high school","standard","completed","68","64","68"
"female","group B","associate's degree","standard","none","69","69","68"
"female","group D","some high school","standard","none","45","53","51"
"male","group E","bachelor's degree","standard","none","62","52","55"
"female","group C","high school","standard","none","83","95","96"
"female","group D","master's degree","standard","none","68","86","87"
"female","group D","associate's degree","standard","none","70","73","77"
"female","group C","some college","standard","completed","61","68","70"
"female","group A","associate's degree","standard","none","64","69","72"
"female","group B","some college","standard","completed","83","94","97"
"male","group D","high school","standard","none","57","63","59"
"male","group A","associate's degree","standard","none","70","62","64"
"female","group D","high school","standard","completed","66","66","76"
"female","group B","some college","free/reduced","none","58","63","65"
"female","group B","master's degree","standard","none","86","100","95"
"male","group C","some high school","free/reduced","none","36","41","35"
"female","group C","master's degree","standard","none","54","58","66"
"female","group C","associate's degree","standard","none","58","61","67"
"male","group C","associate's degree","standard","none","77","77","75"
"male","group D","some college","free/reduced","none","63","67","68"
"male","group E","some college","free/reduced","none","72","73","62"
"male","group C","bachelor's degree","standard","none","81","66","67"
"female","group E","high school","free/reduced","none","65","80","74"
"male","group D","some college","standard","none","79","72","75"
"female","group C","bachelor's degree","free/reduced","none","75","91","82"
"female","group E","associate's degree","standard","none","88","93","89"
"female","group A","some college","standard","none","76","82","82"
"female","group C","associate's degree","standard","completed","89","99","100"
"male","group B","high school","free/reduced","none","44","48","48"
"female","group D","some college","free/reduced","none","49","61","63"
"male","group D","some high school","free/reduced","none","60","66","61"
"male","group C","some high school","standard","none","62","58","55"
"female","group D","some college","free/reduced","completed","57","73","79"
"female","group C","master's degree","standard","none","75","79","84"
"male","group D","some college","free/reduced","completed","74","78","71"
"male","group A","some high school","free/reduced","none","56","54","58"
"female","group C","high school","free/reduced","completed","52","61","58"
"male","group A","some college","free/reduced","none","64","57","60"
"male","group B","some high school","free/reduced","none","56","54","46"
"female","group C","some high school","standard","none","54","55","56"
"female","group B","associate's degree","free/reduced","none","75","82","80"
"female","group C","associate's degree","standard","none","76","84","76"
"female","group B","associate's degree","standard","none","73","73","78"
"female","group D","associate's degree","free/reduced","completed","50","72","67"
"female","group C","bachelor's degree","standard","none","65","59","66"
"female","group C","some college","free/reduced","none","54","60","59"
"female","group C","associate's degree","standard","none","72","74","79"
"male","group D","master's degree","standard","completed","88","83","84"
"male","group C","master's degree","free/reduced","none","76","61","61"
"male","group A","some high school","standard","none","83","80","73"
"male","group D","high school","standard","none","56","49","49"
"female","group D","high school","standard","none","79","84","86"
"female","group E","some college","free/reduced","none","48","57","51"
"male","group D","some college","free/reduced","none","83","85","80"
"male","group D","master's degree","standard","completed","90","87","94"
"female","group D","some college","standard","completed","63","66","75"
"female","group C","high school","standard","none","48","72","71"
"female","group A","bachelor's degree","standard","completed","77","83","82"
"male","group C","some high school","free/reduced","completed","62","53","54"
"male","group D","some high school","standard","none","66","53","47"
"male","group C","some high school","standard","completed","87","82","76"
"female","group E","master's degree","standard","none","65","64","66"
"female","group B","some college","free/reduced","none","69","78","73"
"male","group C","associate's degree","free/reduced","none","53","48","42"
"female","group D","some high school","standard","none","56","60","64"
"male","group D","high school","standard","completed","78","62","69"
"male","group D","associate's degree","free/reduced","none","56","67","59"
"female","group A","associate's degree","standard","none","47","52","48"
"male","group D","associate's degree","free/reduced","completed","74","74","72"
"female","group D","some college","standard","completed","63","64","70"
"female","group B","bachelor's degree","standard","none","63","69","59"
"female","group C","some high school","standard","completed","67","90","88"
"male","group C","some college","free/reduced","completed","60","64","60"
"female","group C","some high school","standard","none","64","79","75"
"female","group A","bachelor's degree","standard","none","88","86","87"
"female","group D","bachelor's degree","free/reduced","completed","61","86","83"
"male","group D","associate's degree","standard","none","84","80","70"
"male","group A","some college","standard","none","61","51","47"
"male","group B","some high school","standard","none","49","55","49"
"male","group D","some high school","standard","none","71","50","54"
"male","group C","associate's degree","free/reduced","none","47","51","46"
"male","group E","some high school","standard","none","75","60","60"
"male","group D","associate's degree","standard","none","86","85","78"
"female","group B","some high school","standard","none","55","66","59"
"male","group C","bachelor's degree","free/reduced","none","62","50","51"
"male","group C","associate's degree","standard","completed","100","94","93"
"female","group C","some high school","standard","completed","52","66","63"
"male","group C","some high school","standard","completed","26","29","28"
"male","group C","master's degree","standard","completed","84","81","79"
"male","group E","master's degree","free/reduced","completed","79","74","80"
"male","group E","some college","standard","completed","92","84","84"
"female","group C","associate's degree","free/reduced","none","33","53","51"
"female","group C","bachelor's degree","standard","completed","63","79","86"
"female","group B","high school","standard","none","78","91","81"
"female","group B","master's degree","standard","completed","72","88","90"
"male","group C","high school","standard","none","53","40","41"
"female","group D","associate's degree","standard","none","59","65","66"
"female","group B","some high school","standard","completed","61","70","66"
"male","group C","some college","free/reduced","none","54","53","46"
"male","group D","master's degree","standard","none","67","56","61"
"female","group C","bachelor's degree","standard","none","83","85","86"
"male","group E","bachelor's degree","free/reduced","none","89","86","84"
"female","group D","some high school","standard","none","79","77","84"
"female","group E","associate's degree","free/reduced","completed","72","84","85"
"male","group C","some college","free/reduced","none","80","74","72"
"female","group C","high school","standard","none","64","60","63"
"female","group C","some college","standard","none","52","51","51"
"male","group C","high school","standard","none","84","75","75"
"male","group C","high school","standard","completed","82","64","70"
"female","group C","associate's degree","standard","completed","60","62","68"
"female","group D","associate's degree","standard","none","54","62","60"
"male","group C","some high school","standard","none","75","66","61"
"male","group A","some high school","standard","none","44","47","39"
"female","group C","some college","standard","completed","57","70","73"
"male","group E","some college","standard","none","89","76","75"
"male","group C","high school","standard","none","95","86","83"
"female","group B","master's degree","free/reduced","none","55","61","58"
"female","group C","high school","standard","none","60","72","73"
"male","group C","some college","free/reduced","none","76","85","73"
"female","group B","bachelor's degree","standard","none","71","86","82"
"male","group E","some high school","standard","none","72","65","59"
"female","group B","some high school","standard","none","53","69","61"
"male","group D","associate's degree","free/reduced","none","51","53","50"
